idx,lat,long,alt,impValue,valYear,stories,zipCode,squareFeet,mktValue,className,disRate,selfMoveYear,motMoveYear,selfMoveFlag,motiMoveFlag,freeRiderFlag,movedOutFlag,property,cumuLoss
1169,29.313414,-94.767822,2.5,113840,2018,1,77550,6011,133790,L,0.18,48,29,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1170,29.193331,-94.983273,1.2,186530,2018,1,77554,4704,292000,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1171,29.141142,-95.046428,2.7,121640,2018,1,77554,6229,149950,L,0.18,51,30,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1172,29.212954,-94.948608,0.3,226070,2018,1,77554,17642,626070,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1173,29.270254,-94.834952,1.5,111590,2018,1,77551,6186,129570,L,0.18,18,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1174,29.136083,-95.059927,3,326620,2018,1,77554,5271,389980,M,0.12,3,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1175,29.297082,-94.910506,1.8,439460,2018,1,77554,8146,565720,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1176,29.182768,-94.976263,2.7,125290,2018,1,77554,6882,145710,L,0.18,49,29,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1177,29.284824,-94.821903,3,137630,2018,1,77551,5009,158440,M,0.12,26,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1178,29.276849,-94.825894,2.2,85330,2018,1,77551,5489,108020,L,0.18,46,26,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1179,29.29531,-94.917778,1.4,277930,2018,1,77554,9932,321570,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1180,29.287982,-94.82676,2.3,50790,2018,1,77551,2962,61290,L,0.18,200,34,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1181,29.283613,-94.81452,4,118960,2018,1,77551,5968,143710,L,0.18,200,57,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1182,29.296764,-94.806535,1.5,66790,2018,1,77550,5140,83040,L,0.18,22,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1183,29.275935,-94.828985,2.6,60210,2018,1,77551,9191,70420,L,0.18,200,40,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1184,29.189236,-94.979067,2.7,226050,2018,1,77554,8102,250050,M,0.12,8,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1185,29.277442,-94.815915,1.5,186600,2018,1,77551,6273,221990,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1186,29.26917,-94.841895,0.6,130350,2018,1,77551,7928,155000,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1187,29.290096,-94.809937,3.3,107340,2018,1,77550,5009,126090,L,0.18,200,36,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1188,29.128489,-95.070924,0.4,114380,2018,1,77554,17468,145010,L,0.18,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1189,29.285589,-94.806749,2.3,123000,2018,1,77550,2744,133300,L,0.18,41,22,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1190,29.142531,-95.05172,1.5,167130,2018,1,77554,6055,282650,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1191,29.288862,-94.824941,2.4,68010,2018,1,77551,5968,89010,L,0.18,200,34,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1192,29.298117,-94.787718,2,130600,2018,1,77550,3441,141450,L,0.18,32,9,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1193,29.196028,-94.981901,1.1,160330,2018,1,77554,4356,342990,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
